x,fx,fy,fz,mx,my,mz
2.5,1.5,1.6363636363636367,1.6363636363636367,0,0,0
3.6,3.5,2.1636363636363614,2.1636363636363614,0,0,0
4.1,13.0,14.200000000000003,14.200000000000003,13.0,2.8000000000000007,25.600000000000005
